id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped
rancho-rincon-salinas-potrero-viejo,Rincon De Las Salinas Y Potrero Viejo,1839,alvarado,Jimeno,Jose Cornelio de Bernal,4446,1,San Francisco,ND 005,Confirmed,the heirs of Jose C. Bernal,"Dec. 31, 1857","4,446.40",153,,https://digicoll.lib.berkeley.edu/record/264398,https://ranchos.archivesofcalifornia.com/r/rancho-rincon-salinas-potrero-viejo.html,yes
rancho-carneros-1,Los Carneros (Littlejohn),1834,figueroa,Jose Figueroa,David Littlejohn,4482,1,Monterey,SD 322,Confirmed,the heirs of David Littlejohn,"Aug. 9, 1866","4,482.33",244,,https://digicoll.lib.berkeley.edu/record/268945,https://ranchos.archivesofcalifornia.com/r/rancho-carneros-1.html,yes
rancho-san-lucas,San Lucas,1842,alvarado,Alvarado,James McKinley,8874,,,SD 034,Confirmed,James McKinley,"Feb. 23, 1872","8,874.72",305,,https://digicoll.lib.berkeley.edu/record/266073,https://ranchos.archivesofcalifornia.com/r/rancho-san-lucas.html,yes
rancho-agua-hedionda,Agua Hedionda,1842,alvarado,Alvarado,J. M. Marron,13311,3,San Diego,SD 238,Confirmed,Juan M.,"Marron Dec. 12, 1872","13,311.01",521,,https://digicoll.lib.berkeley.edu/record/267579,https://ranchos.archivesofcalifornia.com/r/rancho-agua-hedionda.html,yes
rancho-felix,Felix,1844,micheltorena,Micheltorena,D. Feliz,4448,1,,ND 148,Confirmed,Domingo Feliz,"June 21, 1873","4,448.29",167,,https://digicoll.lib.berkeley.edu/record/265508,https://ranchos.archivesofcalifornia.com/r/rancho-felix.html,yes
rancho-vergeles,Los Vergeles,1835,interim,Jose Figueroa,Jose Joaquin Gomez,8759,2,Monterey,SD 111,Confirmed,James Stokes,"Apl. 3, 1875","8,759.12",249,,https://digicoll.lib.berkeley.edu/record/265852,https://ranchos.archivesofcalifornia.com/r/rancho-vergeles.html,yes
rancho-medanos,Los Medanos,1839,alvarado,Alvarado,Jose Antonio Mesa et al,8858,2,Contra Costa,ND 364,Confirmed,Jonathan D. Stevenson,"Oct. 8, 1872","8,858.83",,,https://digicoll.lib.berkeley.edu/record/264201,https://ranchos.archivesofcalifornia.com/r/rancho-medanos.html,yes
rancho-san-mateo,San Mateo,1846,pico,Pio Pico,Cayetano Arenas,6438,2,San Mateo,ND 409,Confirmed,the executors of William D. M. Howard,"Nov. 18, 1857","6,438.80",149,,https://digicoll.lib.berkeley.edu/record/264256,https://ranchos.archivesofcalifornia.com/r/rancho-san-mateo.html,yes
rancho-pauma,Pauma,1844,micheltorena,Micheltorena,J. A. Serano et al,13309,3,San Diego,SD 189,Confirmed,Jose A. Serrano et al,"Aug. 29, 1871","13,309.60",507,,https://digicoll.lib.berkeley.edu/record/267536,https://ranchos.archivesofcalifornia.com/r/rancho-pauma.html,yes
rancho-canada-salsipuedes,Canada De Salsipuedes,1844,micheltorena,Micheltorena,Pedro Cordero,6656,1½,Santa Barbara,SD 002,Confirmed,John Keyes,"Feb. 18, 1874","6,656.21",377,,https://digicoll.lib.berkeley.edu/record/266043,https://ranchos.archivesofcalifornia.com/r/rancho-canada-salsipuedes.html,yes
rancho-estero-americano,Estero Americano,1839,alvarado,Alvarado,Jasper O'Farrell,8849,,Sonoma,ND 041,Confirmed,Jasper O'Farrell,"Feb. 3, 1858","8,849.13",28,,https://digicoll.lib.berkeley.edu/record/264428,https://ranchos.archivesofcalifornia.com/r/rancho-estero-americano.html,yes
