id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped,docket_relation
rancho-rio-santa-clara,Rio De Santa Clara,1837,alvarado,Alvarado,Valentin Cota et al,44883,,Ventura,SD 231,Confirmed,Valentin Cota et al,"Sept. 5, 1872","44,883.30",403,,https://digicoll.lib.berkeley.edu/record/267572,https://ranchos.archivesofcalifornia.com/r/rancho-rio-santa-clara.html,yes,sole
rancho-san-pablo,San Pablo,1835,figueroa,Figueroa,Francisco Castro,17938,4,Contra Costa,ND 320,Confirmed,Joaqu\u00edn Isidro Castro,"Jan. 31, 1873","17,938.59",127,,https://digicoll.lib.berkeley.edu/record/266039,https://ranchos.archivesofcalifornia.com/r/rancho-san-pablo.html,yes,sole
rancho-santa-rosa-island,Santa Rosa Island,1843,micheltorena,Manuel Micheltorena,Jose Antonio Carrillo and Carlos Carrillo,62696,,,SD 056,Confirmed,Manuela Carrillo de Jones et al,"Oct. 3, 1871","62,696.49",405,,https://digicoll.lib.berkeley.edu/record/266093,https://ranchos.archivesofcalifornia.com/r/rancho-santa-rosa-island.html,yes,sole
rancho-blucher,Blucher,1844,micheltorena,Micheltorena,Juan Vioget,26759,6,Marin,ND 224,Confirmed,Stephen Smith Jr. et al,"June 19, 1858","26,759.42",29,,https://digicoll.lib.berkeley.edu/record/265816,https://ranchos.archivesofcalifornia.com/r/rancho-blucher.html,yes,sole
rancho-mariposas,Las Mariposas,1844,micheltorena,Micheltorena,Juan Bautista Alvarado,44386,10,Mariposa,ND 001,Confirmed,John C. Fremont,"Feb. 19, 1856","44,386.83",104,17 Howard 542,https://digicoll.lib.berkeley.edu/record/264396,https://ranchos.archivesofcalifornia.com/r/rancho-mariposas.html,yes,sole
rancho-san-bernardino,San Bernardino,1842,alvarado,Alvarado,"Jose del Carmen Lugo, Jose Maria Lugo, Vicente Lugo and Diego Sepulveda",35509,8,San Bernardino,SD 012,Confirmed,Jose del Carmen Lugo et al,"Nov. 24, 1865","35,509.41",481,,https://digicoll.lib.berkeley.edu/record/266053,https://ranchos.archivesofcalifornia.com/r/rancho-san-bernardino.html,yes,sole
rancho-campo-franceses,Campo De Los Franceses,1844,micheltorena,Micheltorena,Guillermo Gulnac,48747,,San Joaquin,ND 298,Confirmed,Charles M. Weber,"Mar. 18, 1861","48,747.03",100,,https://digicoll.lib.berkeley.edu/record/256627,https://ranchos.archivesofcalifornia.com/r/rancho-campo-franceses.html,yes,sole
rancho-rio-jesus-maria,Rio Jesus Maria,1843,micheltorena,Micheltorena,Original grantee = Tomas M. Hardy,26637,,Yolo,ND 360,Confirmed,James M. Harbin et al,"July 3, 1858","26,637.42",86,,https://digicoll.lib.berkeley.edu/record/264197,https://ranchos.archivesofcalifornia.com/r/rancho-rio-jesus-maria.html,yes,sole
rancho-bosquejo,Bosquejo,1844,micheltorena,Micheltorena,P. Lassen,22206,5,Tehama,ND 367,Confirmed,Henry Gerke,"Jan. 10, 1862","22,206.27",7,,https://digicoll.lib.berkeley.edu/record/256658,https://ranchos.archivesofcalifornia.com/r/rancho-bosquejo.html,yes,sole
rancho-huecos,Los Huecos,1846,pico,Pío Pico,Luis Arenas and Juan Roland,39950,,Santa Clara,ND 221,Confirmed,John Roland and J.L. Hornsby,"May 13, 1876","39,950.92",182,,https://digicoll.lib.berkeley.edu/record/265813,https://ranchos.archivesofcalifornia.com/r/rancho-huecos.html,yes,sole
